path	subsystem	purpose	dynamic_use_evidence	disposition	confidence	owner	tasks	context_pages
.agents/skills/tnnx-examples-model-zoo/SKILL.md	repo-process	Repository configuration/process file	import/entry/test/docs grep; see code_index.json and graph_edges.tsv	KEEP	HIGH	tnnx-test-quality	none	docs/llm_context/index.md
.agents/skills/tnnx-graph-passes/SKILL.md	repo-process	Repository configuration/process file	import/entry/test/docs grep; see code_index.json and graph_edges.tsv	KEEP	HIGH	tnnx-test-quality	none	docs/llm_context/index.md
.agents/skills/tnnx-ingest-ir/SKILL.md	repo-process	Repository configuration/process file	import/entry/test/docs grep; see code_index.json and graph_edges.tsv	KEEP	HIGH	tnnx-test-quality	none	docs/llm_context/index.md
.agents/skills/tnnx-jax-codegen/SKILL.md	repo-process	Repository configuration/process file	import/entry/test/docs grep; see code_index.json and graph_edges.tsv	KEEP	HIGH	tnnx-test-quality	none	docs/llm_context/index.md
.agents/skills/tnnx-mlx-codegen/SKILL.md	repo-process	Repository configuration/process file	import/entry/test/docs grep; see code_index.json and graph_edges.tsv	KEEP	HIGH	tnnx-test-quality	none	docs/llm_context/index.md
.agents/skills/tnnx-test-quality/SKILL.md	repo-process	Repository configuration/process file	import/entry/test/docs grep; see code_index.json and graph_edges.tsv	KEEP	HIGH	tnnx-test-quality	none	docs/llm_context/index.md
.agents/templates/checklist.md	repo-process	Repository configuration/process file	import/entry/test/docs grep; see code_index.json and graph_edges.tsv	KEEP	HIGH	tnnx-test-quality	none	docs/llm_context/index.md
.agents/templates/handoff.md	repo-process	Repository configuration/process file	import/entry/test/docs grep; see code_index.json and graph_edges.tsv	KEEP	HIGH	tnnx-test-quality	none	docs/llm_context/index.md
.codex/plans/tnnx_second_pass/BASELINE.md	llm-context-plan	Second-pass audit plan artifact	import/entry/test/docs grep; see code_index.json and graph_edges.tsv	LLM-CONTEXT	HIGH	tnnx-test-quality	T00,T19,T23	docs/llm_context/index.md
.codex/plans/tnnx_second_pass/CONTEXT_PACK_AUDIT.md	llm-context-plan	Second-pass audit plan artifact	import/entry/test/docs grep; see code_index.json and graph_edges.tsv	LLM-CONTEXT	HIGH	tnnx-test-quality	T00,T19,T23	docs/llm_context/index.md
.codex/plans/tnnx_second_pass/FILE_CLASSIFICATION.tsv	llm-context-plan	Second-pass audit plan artifact	import/entry/test/docs grep; see code_index.json and graph_edges.tsv	LLM-CONTEXT	HIGH	tnnx-test-quality	T00,T19,T23	docs/llm_context/index.md
.codex/plans/tnnx_second_pass/FINDINGS.md	llm-context-plan	Second-pass audit plan artifact	import/entry/test/docs grep; see code_index.json and graph_edges.tsv	LLM-CONTEXT	HIGH	tnnx-test-quality	T00,T19,T23	docs/llm_context/index.md
.codex/plans/tnnx_second_pass/INVENTORY.md	llm-context-plan	Second-pass audit plan artifact	import/entry/test/docs grep; see code_index.json and graph_edges.tsv	LLM-CONTEXT	HIGH	tnnx-test-quality	T00,T19,T23	docs/llm_context/index.md
.codex/plans/tnnx_second_pass/METRICS.md	llm-context-plan	Second-pass audit plan artifact	import/entry/test/docs grep; see code_index.json and graph_edges.tsv	LLM-CONTEXT	HIGH	tnnx-test-quality	T00,T19,T23	docs/llm_context/index.md
.codex/plans/tnnx_second_pass/PLAN.md	llm-context-plan	Second-pass audit plan artifact	import/entry/test/docs grep; see code_index.json and graph_edges.tsv	LLM-CONTEXT	HIGH	tnnx-test-quality	T00,T19,T23	docs/llm_context/index.md
